LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | The following assertion has been violated at time 120.010000
assert            | info    | The following assertion has been violated at time 120.010000
assert            | info    | The following assertion has been violated at time 120.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 180.010000
assert            | info    | The following assertion has been violated at time 180.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 300.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 360.010000
assert            | info    | The following assertion has been violated at time 360.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 420.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 480.010000
assert            | info    | The following assertion has been violated at time 480.010000
assert            | info    | The following assertion has been violated at time 480.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 540.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 600.010000
assert            | info    | The following assertion has been violated at time 600.010000
assert            | info    | The following assertion has been violated at time 600.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 660.010000
assert            | info    | The following assertion has been violated at time 660.010000
assert            | info    | The following assertion has been violated at time 660.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 720.010000
assert            | info    | The following assertion has been violated at time 720.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | The following assertion has been violated at time 780.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
